participant	qualified_gene_measurements	median_log2_LFQ
ECM1	343	24.25745863036396
ECM2	381	23.97053144220885
ECM3	392	24.457198212399156
ECM4	402	24.491670837091895
ECM5	406	24.40891109194977
ECM6	399	24.119336316370198
ECM7	404	24.128174163036746
ECM8	400	24.21106236558084
ECM9	404	24.161925312332862
ECM10	390	23.93486022977192
