program	members	status	Direction	PValue	FDR_six
REACTOME_COLLAGEN_FORMATION	14	EVALUABLE	Up	0.92998581772803	0.92998581772803
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	22	EVALUABLE	Down	0.766909399223351	0.92998581772803
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	49	EVALUABLE	Up	0.584753370727264	0.92998581772803
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	20	EVALUABLE	Up	0.644864810931317	0.92998581772803
REACTOME_LAMININ_INTERACTIONS	15	EVALUABLE	Down	0.894927714190781	0.92998581772803
GOCC_BASEMENT_MEMBRANE	25	EVALUABLE	Down	0.878322847601192	0.92998581772803
